fdc_id,description,food_category_id,Protein_g,SAA,AAA,clr_His,clr_Ile,clr_Leu,clr_Lys,clr_Met,clr_Cys,clr_Phe,clr_Tyr,clr_Thr,clr_Trp,clr_Val
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,3.35,37.014925373134325,97.91044776119404,-0.28423948973370017,0.27393210988730754,0.9347709535729907,0.8008130450994608,-0.3907229321155081,-1.3240106596202583,0.21439072807614235,0.22658599867879214,0.20823686377041506,-1.1416892623499733,0.4819326447343366
321900,"Broccoli, raw",11.0,2.57,25.68093385214008,64.98054474708172,-0.16411875298435508,0.1277915453002243,0.6181559711032585,0.6636183363255816,-0.6040697964412538,-0.9094512044512744,0.5205175219726517,-0.32963311305518594,0.2356804740404188,-0.7451482922291444,0.58665731041908
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,3.38,37.869822485207095,99.11242603550298,-0.3033088639345425,0.2606264379841683,0.936381780409794,0.8316708372306132,-0.3766401110429385,-1.3149091781386573,0.22553512511049956,0.219564959328729,0.16416619146777922,-1.0917658146020668,0.4486786361866213
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,3.43,38.19241982507288,97.95918367346938,-0.3105938971954876,0.2782921218976666,0.9236101251534672,0.784712377310373,-0.39311489167025737,-1.2881276912830923,0.19824942992925498,0.19824942992925498,0.18627324134237844,-1.0545130281496808,0.47696278273612247
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,3.28,39.02439024390244,98.47560975609755,-0.3044259647584804,0.27415450268700026,0.9290053070728015,0.8179563151663758,-0.3793272466314934,-1.2415502585222282,0.20226728730501398,0.2084592562953631,0.15781553399448311,-1.117936402922167,0.45358167031332686
323444,"Cheese, ricotta, whole milk",1.0,7.81,44.814340588988486,66.58130601792574,-0.4871487627384288,0.24796238460751363,1.0137486343252915,0.8327001719243281,-0.5161362864856365,-0.4589778981685524,-0.05351293468996543,-0.13047395268535977,0.3269507796750637,-0.9070023754541037,0.13189023968984337
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,13.3,32.330827067669176,74.4360902255639,-0.14346137086795974,0.12983187326218681,0.8337898238066974,0.8550672192432303,-0.4407127627974887,-0.8655956859484499,0.39553497153144157,-0.035247825202072036,0.21321345907080946,-1.213902054236582,0.2714823521381855
325992,"Sausage, turkey, breakfast links, mild, raw",7.0,16.7,38.32335329341318,82.63473053892216,-0.2631838353880678,0.17353367552827637,0.8194278489920421,0.9479061575274725,-0.19419099040904264,-1.056413993176982,0.40586559963236457,0.024498137658985897,0.26182626096215067,-1.292802536855481,0.17353367552827637
326698,"Mustard, prepared, yellow",2.0,4.25,38.35294117647059,76.23529411764706,0.031793239435730314,0.2394325429159161,0.932579590663388,0.8341395315893578,-0.4169004180982161,-0.4537143720191352,0.34040843474391913,0.15469133795146517,0.3737448471389553,-2.5331521949578613,0.49697746063648207
326905,"Figs, dried, uncooked",9.0,3.3,19.39393939393939,32.121212121212125,-0.46320049361039706,0.41715766088887385,0.7640284867747602,0.40488757326544045,-0.5555737198136139,-0.4930534273483427,0.24454499404369212,-0.3786431842786042,0.3671472609521027,-1.0451212728072854,0.7378261219333737
327046,"Kiwifruit, green, raw",9.0,1.06,47.16981132075471,65.09433962264151,-0.3543974402387762,0.2961899146705602,0.5450859113134294,0.4748816657064343,-0.4414087770769095,-0.2002468235067303,0.1311102056711908,-0.13125397725786447,0.22874864995186917,-0.9675015394074711,0.4187922101742698
327357,"Nectarines, raw",9.0,1.06,9.433962264150942,15.094339622641508,-0.004093924225994083,-0.004093924225994083,0.4814133819408677,0.6245141168636748,-0.47409675847309907,-0.47409675847309907,0.21904936208853165,-0.2917755550117911,-0.004093924225994083,-0.47409675847309907,0.40137074221599134
327923,"Lettuce, cos or romaine, raw",11.0,1.24,16.129032258064516,72.58064516129032,-0.34899981986550754,0.4131399172608905,0.9372106553792654,0.7653604290447062,-0.7544646327357949,-1.6017613121723608,0.7961320818402489,-0.21546850105046822,0.39066706767145654,-0.9956264479944843,0.613810562622044
329830,"Cheese, dry white, queso seco",1.0,24.5,27.95918367346939,99.59183673469389,-0.23848369473906939,0.30297874673278846,0.9831104549606824,0.8275031286500587,-0.4709295437346692,-1.7425598211462412,0.31156248861899316,0.393575623791508,0.1032654939147939,-1.016623660773036,0.5466007837241911
330137,"Yogurt, Greek, plain, nonfat",1.0,10.3,36.50485436893204,99.32038834951456,-0.28280167112315757,0.3042261123112646,0.9743395495476777,0.7620591341402956,-0.28280167112315757,-1.5441327829163156,0.2773014142744774,0.27143629600313623,0.05318277924183468,-1.0726247290184552,0.5398155686624011
333476,"Fish, pollock, raw",15.0,12.3,43.90243902439024,81.30081300813008,-0.5064916187157276,0.2884380152556192,0.8247426419732471,0.9570940790730789,-0.1498168065626606,-1.199638359990248,0.09312930572421774,0.05312398095445392,0.22174665443881292,-0.9483241269472851,0.36599623479648935
334462,"Restaurant, Chinese, sweet and sour pork",25.0,8.88,35.69819819819819,67.11711711711712,-0.03293243144528324,0.23983046637922767,0.868615834885174,0.8043601675099832,-0.35969573436173796,-0.991933783547704,0.14531574944551284,-0.15902511689692123,0.2291637011009704,-1.0674412727403944,0.323742419671174
334628,"Restaurant, Latino, tamale, pork",25.0,7.38,32.520325203252035,54.8780487804878,-0.1294722078310473,0.2069999083004137,0.9203496425534232,0.7925162911708079,-0.18831268229554965,-0.9767695059329315,0.16532722471790517,-0.15845973230094357,0.22720260959344518,-1.1999128112474136,0.340531263271886
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25.0,5.59,32.73703041144901,79.24865831842575,-0.07137440737731193,0.21777709048583027,1.0899362496294738,0.5065598167467518,-0.5724436423031141,-0.8251458398274116,0.49660948773846814,-0.24432815208212721,0.1864546271921892,-1.1641209247152258,0.38007569451247436
746765,"Cheese, dry white, queso seco",1.0,24.5,27.95918367346939,99.59183673469389,-0.23848369473906939,0.30297874673278846,0.9831104549606824,0.8275031286500587,-0.4709295437346692,-1.7425598211462412,0.31156248861899316,0.393575623791508,0.1032654939147939,-1.016623660773036,0.5466007837241911
746766,"Cheese, ricotta, whole milk",1.0,7.81,44.814340588988486,66.58130601792574,-0.4871487627384288,0.24796238460751363,1.0137486343252915,0.8327001719243281,-0.5161362864856365,-0.4589778981685524,-0.05351293468996543,-0.13047395268535977,0.3269507796750637,-0.9070023754541037,0.13189023968984337
746768,"Figs, dried, uncooked",9.0,3.3,19.39393939393939,32.121212121212125,-0.46320049361039706,0.41715766088887385,0.7640284867747602,0.40488757326544045,-0.5555737198136139,-0.4930534273483427,0.24454499404369212,-0.3786431842786042,0.3671472609521027,-1.0451212728072854,0.7378261219333737
746769,"Lettuce, cos or romaine, raw",11.0,1.24,16.129032258064516,72.58064516129032,-0.34899981986550754,0.4131399172608905,0.9372106553792654,0.7653604290447062,-0.7544646327357949,-1.6017613121723608,0.7961320818402489,-0.21546850105046822,0.39066706767145654,-0.9956264479944843,0.613810562622044
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,3.38,37.869822485207095,99.11242603550298,-0.3033088639345425,0.2606264379841683,0.936381780409794,0.8316708372306132,-0.3766401110429385,-1.3149091781386573,0.22553512511049956,0.219564959328729,0.16416619146777922,-1.0917658146020668,0.4486786361866213
746774,"Restaurant, Chinese, sweet and sour pork",25.0,8.88,35.69819819819819,67.11711711711712,-0.03293243144528324,0.23983046637922767,0.868615834885174,0.8043601675099832,-0.35969573436173796,-0.991933783547704,0.14531574944551284,-0.15902511689692123,0.2291637011009704,-1.0674412727403944,0.323742419671174
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,3.43,38.19241982507288,97.95918367346938,-0.3105938971954876,0.2782921218976666,0.9236101251534672,0.784712377310373,-0.39311489167025737,-1.2881276912830923,0.19824942992925498,0.19824942992925498,0.18627324134237844,-1.0545130281496808,0.47696278273612247
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,3.36,36.904761904761905,97.61904761904762,-0.2842394897141407,0.2739321094748006,0.9347709528809562,0.8008130444502162,-0.3907229319824541,-1.3240106577536594,0.21439072769909817,0.22658599829431125,0.20823686339715763,-1.1416892609595641,0.4819326442132792
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,13.3,32.330827067669176,74.4360902255639,-0.14346137086795974,0.12983187326218681,0.8337898238066974,0.8550672192432303,-0.4407127627974887,-0.8655956859484499,0.39553497153144157,-0.035247825202072036,0.21321345907080946,-1.213902054236582,0.2714823521381855
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,3.27,39.14373088685015,98.77675840978594,-0.3044259648181402,0.27415450308023415,0.9290053077437688,0.8179563158020735,-0.3793272467713358,-1.241550260182537,0.2022672876551641,0.2084592566493475,0.15781553431640072,-1.1179364042764788,0.4535816708015026
746783,"Sausage, turkey, breakfast links, mild, raw",7.0,16.7,38.32335329341318,82.63473053892216,-0.2631838353880678,0.17353367552827637,0.8194278489920421,0.9479061575274725,-0.19419099040904264,-1.056413993176982,0.40586559963236457,0.024498137658985897,0.26182626096215067,-1.292802536855481,0.17353367552827637
747447,"Broccoli, raw",11.0,2.57,25.68093385214008,64.98054474708172,-0.16411875298435508,0.1277915453002243,0.6181559711032585,0.6636183363255816,-0.6040697964412538,-0.9094512044512744,0.5205175219726517,-0.32963311305518594,0.2356804740404188,-0.7451482922291444,0.58665731041908
747997,"Eggs, Grade A, Large, egg white",1.0,10.7,83.45794392523365,111.40186915887853,-0.7019930448580283,0.1607488973121729,0.6764884650846978,0.4606709791309136,-0.06486070203049543,-0.24225609775375068,0.33648061611213187,-0.10688368235622026,0.08928994634468257,-1.0146270141168507,0.4069416371307488
748236,"Eggs, Grade A, Large, egg yolk",1.0,16.2,50.80246913580247,83.76543209876544,-0.4981578643222955,0.23222743384170297,0.7989050440453518,0.6811220233889657,-0.4225025350675855,-0.3568653972863016,0.10279062297080666,0.11900320707751133,0.2618115787819306,-1.2498987171385383,0.3315646037084501
748967,"Eggs, Grade A, Large, egg whole",1.0,12.4,64.75806451612902,94.51612903225806,-0.5878017722329085,0.18999805679360637,0.723296453208206,0.49058348182106437,-0.1977673788631642,-0.28000545167294,0.25899091486064707,0.005075759188384321,0.15363042007823768,-1.1212605726943785,0.3652600895132365
1104705,"Flour, soy, defatted",16.0,51.1,31.937377690802347,90.01956947162427,-0.2863209725182485,0.31190947039492656,0.8880848774881631,0.5930768076068675,-1.0001526400507594,-0.5153874385572381,0.5254835281522015,0.028547131553683158,0.15269552678985399,-1.0098457612543794,0.31190947039492656
1104766,"Flour, soy, full-fat",16.0,38.6,32.383419689119165,91.96891191709844,-0.29126473761565164,0.31391348552168585,0.8784431925642644,0.5208341598637678,-0.9635774417124896,-0.507850790124373,0.5254961721306315,0.09650066279165292,0.15207049904299286,-1.0384786879841696,0.31391348552168585
1750337,"Soy milk, unsweetened, plain, shelf stable",16.0,3.546875,29.2511013215859,84.2431718061674,-0.14590128925920576,0.25097995598762113,0.7933041444172528,0.6705972365574886,-0.8916918001949603,-0.6739684663940522,0.43903214555707226,0.09291361570586654,0.1270574547409522,-0.8916918001949603,0.22936880307692809
1999630,"Soy milk, unsweetened, plain, shelf stable",16.0,3.546875,29.2511013215859,84.2431718061674,-0.14590128925920576,0.25097995598762113,0.7933041444172528,0.6705972365574886,-0.8916918001949603,-0.6739684663940522,0.43903214555707226,0.09291361570586654,0.1270574547409522,-0.8916918001949603,0.22936880307692809
2257044,"Soy milk, sweetened, plain, refrigerated",16.0,2.776875,29.3243304073824,92.5860904794058,0.09577127144223274,0.09577127144223274,0.7889183131584572,0.7889183131584572,-1.0171422345621695,-0.6263925641494561,0.5474835297866738,0.09577127144223274,0.09577127144223274,-0.9745446159381719,0.1096741727772752
2262072,"Peanut butter, creamy",16.0,23.99124,33.50389558855649,106.9140236186208,-0.12669067734483308,0.18104613414916537,0.8962311601779236,0.21450192573840576,-0.973446046403919,-0.4014932450552302,0.6705591948002585,0.3264630987149091,0.04912838257001262,-1.2104784885949593,0.374178561248268
2262073,"Sesame butter, creamy",12.0,19.7054,75.61886589462787,99.07436540237704,-0.267918197208441,0.061938710631012306,0.7143268572323707,-0.1825951803332604,-0.08857006977955173,-0.07179228316719044,0.32390873468661363,0.035390051187111915,0.12674645219885416,-0.9609031285476561,0.30946805310013437
2262074,"Almond butter, creamy",12.0,20.78734,30.67251509813184,103.13969945168547,-0.02981186804388214,0.34578119987003975,0.9796803937057228,-0.0181394958921417,-1.2487142550618637,-0.38282579241261816,0.7433296765781248,0.14391509700094884,0.1683509306159845,-1.2097584495574498,0.5081925631971349
2262075,"Flaxseed, ground",12.0,18.0359,52.949949822298855,93.61883798424252,-0.3412696343513746,0.2601128801708006,0.6467348387894889,0.2547652748757492,-0.585408525101268,-0.2686503102231965,0.434402234496571,-0.2330910195907805,0.25347758313460966,-0.874997025317882,0.45392370311728136
2346392,"Nuts, pine nuts, raw",12.0,15.7039,50.942759441922064,75.14057017683506,-0.27526761084279405,0.15105929937617812,0.8115635625176614,0.18574284268597996,-0.3896779105745334,-0.03603801208112323,0.19692939704120116,0.18574284268597996,-0.04308405146688221,-1.2003802852851764,0.4134099259435091
2346393,"Nuts, almonds, whole, raw",12.0,21.45038,30.488970358567077,85.21993549764619,-0.06126501054081279,0.28403146180733785,0.9376476706297625,0.05894811563211455,-1.3305866936245665,-0.15293216148934397,0.7208682688079211,0.07817947094869915,0.04263454584936355,-1.0300015779499883,0.45247590992951325
2346394,"Nuts, walnuts, English, halves, raw",12.0,14.5644,38.90994479690204,71.1804125127022,-0.15365263971256748,0.26157132723691134,0.9121922036764785,-0.05208612842909588,-0.7452329257155772,-0.060808263093945936,0.4157769105844227,0.07152778297138962,0.10198930587281918,-1.1504345275781573,0.3991569541873221
2346395,"Nuts, pecans, halves, raw",12.0,9.9587,47.44595178085493,77.82140239187845,-0.15708096822312578,0.17256519678977034,0.7799454313885343,0.04098887736931944,-0.6063484838195814,-0.007020326511667285,0.40931434264192035,0.017272358221025907,-0.015250822949714582,-0.9823994352969918,0.3480138303905105
