fdc_id,description,food_category_id,Cys,His,Ile,Leu,Lys,Met,Phe,Protein_g,Thr,Trp,Tyr,Val,SAA,AAA
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,10.447761194029852,29.55223880597015,51.64179104477611,100.0,87.46268656716417,26.567164179104473,48.656716417910445,3.35,48.35820895522388,12.53731343283582,49.25373134328358,63.582089552238806,37.014925373134325,97.91044776119404
321900,"Broccoli, raw",11.0,10.894941634241246,22.957198443579767,30.739299610894943,50.19455252918288,52.52918287937744,14.785992217898833,45.525291828793776,2.57,34.24124513618678,12.84046692607004,19.455252918287943,48.63813229571984,25.68093385214008,64.98054474708172
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,10.650887573964496,29.28994082840237,51.4792899408284,101.18343195266273,91.12426035502959,27.218934911242602,49.70414201183433,3.38,46.74556213017752,13.313609467455622,49.40828402366864,62.1301775147929,37.869822485207095,99.11242603550298
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,11.07871720116618,29.44606413994169,53.06122448979592,101.16618075801748,88.0466472303207,27.113702623906704,48.97959183673469,3.43,48.39650145772595,13.994169096209912,48.97959183673469,64.72303206997084,38.19241982507288,97.95918367346938
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,11.585365853658537,29.573170731707318,52.74390243902439,101.52439024390245,90.85365853658536,27.4390243902439,49.08536585365854,3.28,46.951219512195124,13.109756097560975,49.390243902439025,63.109756097560975,39.02439024390244,98.47560975609755
323444,"Cheese, ricotta, whole milk",1.0,23.047375160051217,22.40717029449424,46.734955185659416,100.51216389244559,83.86683738796415,21.766965428937265,34.571062740076826,7.81,50.57618437900128,14.7247119078105,32.010243277848915,41.61331626120359,44.814340588988486,66.58130601792574
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,12.781954887218046,26.31578947368421,34.58646616541353,69.92481203007519,71.42857142857143,19.548872180451127,45.11278195488722,13.3,37.59398496240601,9.022556390977442,29.32330827067669,39.849624060150376,32.330827067669176,74.4360902255639
325992,"Sausage, turkey, breakfast links, mild, raw",7.0,11.377245508982037,25.149700598802397,38.92215568862276,74.25149700598803,84.4311377245509,26.94610778443114,49.10179640718563,16.7,42.51497005988024,8.982035928143713,33.53293413173653,38.92215568862276,38.32335329341318,82.63473053892216
326698,"Mustard, prepared, yellow",2.0,18.823529411764707,30.58823529411765,37.64705882352941,75.29411764705883,68.23529411764706,19.52941176470588,41.64705882352941,4.25,43.05882352941176,2.3529411764705883,34.588235294117645,48.705882352941174,38.35294117647059,76.23529411764706
326905,"Figs, dried, uncooked",9.0,10.0,10.303030303030305,24.84848484848485,35.151515151515156,24.545454545454547,9.393939393939394,20.909090909090914,3.3,23.636363636363637,5.757575757575758,11.212121212121211,34.24242424242425,19.393939393939394,32.121212121212125
327046,"Kiwifruit, green, raw",9.0,26.415094339622637,22.641509433962263,43.39622641509434,55.660377358490564,51.886792452830186,20.754716981132074,36.79245283018868,1.06,40.56603773584906,12.264150943396226,28.301886792452827,49.056603773584904,47.16981132075471,65.09433962264151
327357,"Nectarines, raw",9.0,4.716981132075471,7.547169811320755,7.547169811320755,12.264150943396226,14.150943396226413,4.716981132075471,9.433962264150942,1.06,7.547169811320755,4.716981132075471,5.660377358490566,11.320754716981131,9.433962264150942,15.094339622641508
327923,"Lettuce, cos or romaine, raw",11.0,4.838709677419355,16.935483870967744,36.29032258064516,61.29032258064516,51.61290322580645,11.290322580645162,53.225806451612904,1.24,35.483870967741936,8.870967741935484,19.35483870967742,44.35483870967742,16.129032258064516,72.58064516129032
329830,"Cheese, dry white, queso seco",1.0,6.122448979591836,27.551020408163264,47.3469387755102,93.46938775510203,80.0,21.836734693877553,47.755102040816325,24.5,38.775510204081634,12.653061224489795,51.83673469387755,60.40816326530612,27.95918367346939,99.59183673469389
330137,"Yogurt, Greek, plain, nonfat",1.0,8.058252427184467,28.44660194174757,51.16504854368932,99.99999999999999,80.87378640776697,28.44660194174757,49.80582524271845,10.3,39.80582524271844,12.912621359223301,49.51456310679611,64.75728155339806,36.50485436893204,99.32038834951456
333476,"Fish, pollock, raw",15.0,11.382113821138212,22.764227642276424,50.40650406504064,86.1788617886179,98.37398373983739,32.52032520325203,41.46341463414634,12.3,47.15447154471544,14.634146341463413,39.83739837398374,54.47154471544716,43.90243902439024,81.30081300813008
334462,"Restaurant, Chinese, sweet and sour pork",25.0,12.387387387387387,32.31981981981981,42.45495495495495,79.6171171171171,74.66216216216216,23.310810810810807,38.626126126126124,8.88,42.004504504504496,11.486486486486486,28.490990990990987,46.17117117117117,35.69819819819819,67.11711711711712
334628,"Restaurant, Latino, tamale, pork",25.0,10.16260162601626,23.71273712737127,33.19783197831978,67.75067750677508,59.62059620596206,22.357723577235774,31.84281842818428,7.38,33.87533875338754,8.130081300813007,23.035230352303522,37.94037940379404,32.520325203252035,54.8780487804878
